"name",100,50,30,20,10,5
"Pbigrams",99975,99972,99962,99831,95323,67277
"Pletters",99952,99937,99683,97936,81597,47758
"Ptrigrams",99991,99994,99990,99944,97994,74922
"cosine_similarity + l1_scaled",99948,99764,98358,93346,71183,43193
"cosine_similarity + l2_scaled",99946,99768,98345,93399,71353,43259
"l1 + l1_scaled",99949,99879,98944,95454,72617,42940
"l1 + l2_scaled",99945,99889,98996,95350,74966,44413
"l2 + l1_scaled",99946,99822,98336,93457,71287,43350
"l2 + l2_scaled",99957,99796,98274,93471,71413,43288
"l3 + l1_scaled",99942,99324,95766,87384,59770,40661
"l3 + l2_scaled",99922,99445,96568,89109,63241,39819
