worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-11896.44219026631,abcdefghijklmnopqrstuvwxyz,plteziabdgquswnmrvjoyhxkfc,plteziabdgquswnmrvjoyhxkfc,qkicfaygbnweojuxhptlsvrdmz
0,500,-8263.917113369424,abcdefghijklmnopqrstuvwxyz,uwiebamrgndpotfchjqlsyvxkz,uwiebamrgndpotfchjqlsyvxkz,qkicfaygbnweojuxhptlsvrdmz
0,1000,-7534.796582502214,abcdefghijklmnopqrstuvwxyz,qmiefacvbnwtojuxhplgskydrz,qmiefacvbnwtojuxhplgskydrz,qkicfaygbnweojuxhptlsvrdmz
0,1500,-7310.029459379452,abcdefghijklmnopqrstuvwxyz,qkitfacrbnweojuxhplgsvydmz,qkitfacrbnweojuxhplgsvydmz,qkicfaygbnweojuxhptlsvrdmz
0,2000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,2500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,3000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,3500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,4000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,4500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,5000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,5500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,6000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,6500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,7000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,7500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,8000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,8500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,9000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,9500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,10000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,10500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,11000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,11500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,12000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,12500,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,13000,-7301.13657150297,abcdefghijklmnopqrstuvwxyz,qkitfacybnweojuxhplgsvrdmz,qkitfacybnweojuxhplgsvrdmz,qkicfaygbnweojuxhptlsvrdmz
