worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-3234.895682657526,abcdefghijklmnopqrstuvwxyz,sfjnqrwydczgibekxvhmtulopa,sfjnqrwydczgibekxvhmtulopa,qkicfaygbnweojuxhptlsvrdmz
0,500,-2534.913854856288,abcdefghijklmnopqrstuvwxyz,bkrefvatuhdscglwnpjqixoymz,bkrefvatuhdscglwnpjqixoymz,qkicfaygbnweojuxhptlsvrdmz
0,1000,-2517.61756751028,abcdefghijklmnopqrstuvwxyz,byrefavguhwistlxnpjqckodmz,byrefavguhwistlxnpjqckodmz,qkicfaygbnweojuxhptlsvrdmz
0,1500,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,2000,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,2500,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,3000,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,3500,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,4000,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,4500,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,5000,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,5500,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,6000,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,6500,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,7000,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,7500,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,8000,-2516.00992398943,abcdefghijklmnopqrstuvwxyz,bkrefavguhwcstlxnpjqiyodmz,bkrefavguhwcstlxnpjqiyodmz,qkicfaygbnweojuxhptlsvrdmz
0,8500,-2516.009923989431,abcdefghijklmnopqrstuvwxyz,byrefavguhwcstlxnpjqikodmz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
