worker,iteration,fitness
0,0,-17464.568516864027
0,500,-15809.117659516185
0,1000,-14811.909299609817
0,1500,-14681.308607565503
0,2000,-14681.308607565503
0,2500,-14681.308607565503
0,3000,-14681.308607565503
0,3500,-14681.308607565503
0,4000,-14681.308607565503
0,4500,-14681.308607565503
0,5000,-14681.308607565503
0,5500,-14681.308607565503
0,6000,-14681.308607565503
0,6500,-14681.308607565503
0,7000,-14681.308607565503
0,7500,-14681.308607565503
0,8000,-14681.308607565503
0,8500,-14681.308607565503
0,9000,-14681.308607565503
0,9500,-14681.308607565503
0,10000,-14681.308607565503
0,10500,-14681.308607565503
0,11000,-14681.308607565503
0,11500,-14681.308607565503
0,12000,-14681.308607565503
0,12500,-14681.308607565503
0,13000,-14681.308607565503
0,13500,-14681.308607565503
0,14000,-14681.308607565503
0,14500,-14681.308607565503
0,15000,-14681.308607565503
0,15500,-14681.308607565503
0,16000,-14681.308607565503
0,16500,-14681.308607565503
0,17000,-14681.308607565503
0,17500,-14681.308607565503
0,18000,-14681.308607565503
0,18500,-14681.308607565503
0,19000,-14681.308607565503
0,19500,-14681.308607565503
1,0,-17464.568516864027
1,500,-14839.503521529277
1,1000,-14681.308607565503
1,1500,-14681.308607565503
1,2000,-14681.308607565503
1,2500,-14681.308607565503
1,3000,-14681.308607565503
1,3500,-14681.308607565503
1,4000,-14681.308607565503
1,4500,-14681.308607565503
1,5000,-14681.308607565503
1,5500,-14681.308607565503
1,6000,-14681.308607565503
1,6500,-14681.308607565503
1,7000,-14681.308607565503
1,7500,-14681.308607565503
1,8000,-14681.308607565503
1,8500,-14681.308607565503
1,9000,-14681.308607565503
1,9500,-14681.308607565503
1,10000,-14681.308607565503
1,10500,-14681.308607565503
1,11000,-14681.308607565503
1,11500,-14681.308607565503
1,12000,-14681.308607565503
1,12500,-14681.308607565503
1,13000,-14681.308607565503
1,13500,-14681.308607565503
1,14000,-14681.308607565503
1,14500,-14681.308607565503
1,15000,-14681.308607565503
1,15500,-14681.308607565503
1,16000,-14681.308607565503
1,16500,-14681.308607565503
1,17000,-14681.308607565503
1,17500,-14681.308607565503
1,18000,-14681.308607565503
1,18500,-14681.308607565503
1,19000,-14681.308607565503
1,19500,-14681.308607565503
2,0,-17464.568516864027
2,500,-15316.386222673593
2,1000,-14681.308607565503
2,1500,-14681.308607565503
2,2000,-14681.308607565503
2,2500,-14681.308607565503
2,3000,-14681.308607565503
2,3500,-14681.308607565503
2,4000,-14681.308607565503
2,4500,-14681.308607565503
2,5000,-14681.308607565503
2,5500,-14681.308607565503
2,6000,-14681.308607565503
2,6500,-14681.308607565503
2,7000,-14681.308607565503
2,7500,-14681.308607565503
2,8000,-14681.308607565503
2,8500,-14681.308607565503
2,9000,-14681.308607565503
2,9500,-14681.308607565503
2,10000,-14681.308607565503
2,10500,-14681.308607565503
2,11000,-14681.308607565503
2,11500,-14681.308607565503
2,12000,-14681.308607565503
2,12500,-14681.308607565503
2,13000,-14681.308607565503
2,13500,-14681.308607565503
2,14000,-14681.308607565503
2,14500,-14681.308607565503
2,15000,-14681.308607565503
2,15500,-14681.308607565503
2,16000,-14681.308607565503
2,16500,-14681.308607565503
2,17000,-14681.308607565503
2,17500,-14681.308607565503
2,18000,-14681.308607565503
2,18500,-14681.308607565503
2,19000,-14681.308607565503
2,19500,-14681.308607565503
3,0,-17464.568516864027
3,500,-15854.655604306314
3,1000,-15317.301870203746
3,1500,-15317.301870203746
3,2000,-15317.301870203746
3,2500,-14681.308607565503
3,3000,-14681.308607565503
3,3500,-14681.308607565503
3,4000,-14681.308607565503
3,4500,-14681.308607565503
3,5000,-14681.308607565503
3,5500,-14681.308607565503
3,6000,-14681.308607565503
3,6500,-14681.308607565503
3,7000,-14681.308607565503
3,7500,-14681.308607565503
3,8000,-14681.308607565503
3,8500,-14681.308607565503
3,9000,-14681.308607565503
3,9500,-14681.308607565503
3,10000,-14681.308607565503
3,10500,-14681.308607565503
3,11000,-14681.308607565503
3,11500,-14681.308607565503
3,12000,-14681.308607565503
3,12500,-14681.308607565503
3,13000,-14681.308607565503
3,13500,-14681.308607565503
3,14000,-14681.308607565503
3,14500,-14681.308607565503
3,15000,-14681.308607565503
3,15500,-14681.308607565503
3,16000,-14681.308607565503
3,16500,-14681.308607565503
3,17000,-14681.308607565503
3,17500,-14681.308607565503
3,18000,-14681.308607565503
3,18500,-14681.308607565503
3,19000,-14681.308607565503
3,19500,-14681.308607565503
4,0,-17464.568516864027
4,500,-15578.69113412184
4,1000,-14681.308607565503
4,1500,-14681.308607565503
4,2000,-14681.308607565503
4,2500,-14681.308607565503
4,3000,-14681.308607565503
4,3500,-14681.308607565503
4,4000,-14681.308607565503
4,4500,-14681.308607565503
4,5000,-14681.308607565503
4,5500,-14681.308607565503
4,6000,-14681.308607565503
4,6500,-14681.308607565503
4,7000,-14681.308607565503
4,7500,-14681.308607565503
4,8000,-14681.308607565503
4,8500,-14681.308607565503
4,9000,-14681.308607565503
4,9500,-14681.308607565503
4,10000,-14681.308607565503
4,10500,-14681.308607565503
4,11000,-14681.308607565503
4,11500,-14681.308607565503
4,12000,-14681.308607565503
4,12500,-14681.308607565503
4,13000,-14681.308607565503
4,13500,-14681.308607565503
4,14000,-14681.308607565503
4,14500,-14681.308607565503
4,15000,-14681.308607565503
4,15500,-14681.308607565503
4,16000,-14681.308607565503
4,16500,-14681.308607565503
4,17000,-14681.308607565503
4,17500,-14681.308607565503
4,18000,-14681.308607565503
4,18500,-14681.308607565503
4,19000,-14681.308607565503
4,19500,-14681.308607565503
5,0,-17464.568516864027
5,500,-15316.386222673593
5,1000,-15316.386222673593
5,1500,-14681.308607565503
5,2000,-14681.308607565503
5,2500,-14681.308607565503
5,3000,-14681.308607565503
5,3500,-14681.308607565503
5,4000,-14681.308607565503
5,4500,-14681.308607565503
5,5000,-14681.308607565503
5,5500,-14681.308607565503
5,6000,-14681.308607565503
5,6500,-14681.308607565503
5,7000,-14681.308607565503
5,7500,-14681.308607565503
5,8000,-14681.308607565503
5,8500,-14681.308607565503
5,9000,-14681.308607565503
5,9500,-14681.308607565503
5,10000,-14681.308607565503
5,10500,-14681.308607565503
5,11000,-14681.308607565503
5,11500,-14681.308607565503
5,12000,-14681.308607565503
5,12500,-14681.308607565503
5,13000,-14681.308607565503
5,13500,-14681.308607565503
5,14000,-14681.308607565503
5,14500,-14681.308607565503
5,15000,-14681.308607565503
5,15500,-14681.308607565503
5,16000,-14681.308607565503
5,16500,-14681.308607565503
5,17000,-14681.308607565503
5,17500,-14681.308607565503
5,18000,-14681.308607565503
5,18500,-14681.308607565503
5,19000,-14681.308607565503
5,19500,-14681.308607565503
6,0,-17464.568516864027
6,500,-15640.411868370436
6,1000,-15057.871304375103
6,1500,-14681.308607565503
6,2000,-14681.308607565503
6,2500,-14681.308607565503
6,3000,-14681.308607565503
6,3500,-14681.308607565503
6,4000,-14681.308607565503
6,4500,-14681.308607565503
6,5000,-14681.308607565503
6,5500,-14681.308607565503
6,6000,-14681.308607565503
6,6500,-14681.308607565503
6,7000,-14681.308607565503
6,7500,-14681.308607565503
6,8000,-14681.308607565503
6,8500,-14681.308607565503
6,9000,-14681.308607565503
6,9500,-14681.308607565503
6,10000,-14681.308607565503
6,10500,-14681.308607565503
6,11000,-14681.308607565503
6,11500,-14681.308607565503
6,12000,-14681.308607565503
6,12500,-14681.308607565503
6,13000,-14681.308607565503
6,13500,-14681.308607565503
6,14000,-14681.308607565503
6,14500,-14681.308607565503
6,15000,-14681.308607565503
6,15500,-14681.308607565503
6,16000,-14681.308607565503
6,16500,-14681.308607565503
6,17000,-14681.308607565503
6,17500,-14681.308607565503
6,18000,-14681.308607565503
6,18500,-14681.308607565503
6,19000,-14681.308607565503
6,19500,-14681.308607565503
7,0,-17464.568516864027
7,500,-15946.828653238075
7,1000,-15592.355129734276
7,1500,-14681.308607565503
7,2000,-14681.308607565503
7,2500,-14681.308607565503
7,3000,-14681.308607565503
7,3500,-14681.308607565503
7,4000,-14681.308607565503
7,4500,-14681.308607565503
7,5000,-14681.308607565503
7,5500,-14681.308607565503
7,6000,-14681.308607565503
7,6500,-14681.308607565503
7,7000,-14681.308607565503
7,7500,-14681.308607565503
7,8000,-14681.308607565503
7,8500,-14681.308607565503
7,9000,-14681.308607565503
7,9500,-14681.308607565503
7,10000,-14681.308607565503
7,10500,-14681.308607565503
7,11000,-14681.308607565503
7,11500,-14681.308607565503
7,12000,-14681.308607565503
7,12500,-14681.308607565503
7,13000,-14681.308607565503
7,13500,-14681.308607565503
7,14000,-14681.308607565503
7,14500,-14681.308607565503
7,15000,-14681.308607565503
7,15500,-14681.308607565503
7,16000,-14681.308607565503
7,16500,-14681.308607565503
7,17000,-14681.308607565503
7,17500,-14681.308607565503
7,18000,-14681.308607565503
7,18500,-14681.308607565503
7,19000,-14681.308607565503
7,19500,-14681.308607565503
8,0,-17464.568516864027
8,500,-15030.25560462655
8,1000,-14681.308607565503
8,1500,-14681.308607565503
8,2000,-14681.308607565503
8,2500,-14681.308607565503
8,3000,-14681.308607565503
8,3500,-14681.308607565503
8,4000,-14681.308607565503
8,4500,-14681.308607565503
8,5000,-14681.308607565503
8,5500,-14681.308607565503
8,6000,-14681.308607565503
8,6500,-14681.308607565503
8,7000,-14681.308607565503
8,7500,-14681.308607565503
8,8000,-14681.308607565503
8,8500,-14681.308607565503
8,9000,-14681.308607565503
8,9500,-14681.308607565503
8,10000,-14681.308607565503
8,10500,-14681.308607565503
8,11000,-14681.308607565503
8,11500,-14681.308607565503
8,12000,-14681.308607565503
8,12500,-14681.308607565503
8,13000,-14681.308607565503
8,13500,-14681.308607565503
8,14000,-14681.308607565503
8,14500,-14681.308607565503
8,15000,-14681.308607565503
8,15500,-14681.308607565503
8,16000,-14681.308607565503
8,16500,-14681.308607565503
8,17000,-14681.308607565503
8,17500,-14681.308607565503
8,18000,-14681.308607565503
8,18500,-14681.308607565503
8,19000,-14681.308607565503
8,19500,-14681.308607565503
9,0,-17464.568516864027
9,500,-15581.246846101012
9,1000,-14681.308607565503
9,1500,-14681.308607565503
9,2000,-14681.308607565503
9,2500,-14681.308607565503
9,3000,-14681.308607565503
9,3500,-14681.308607565503
9,4000,-14681.308607565503
9,4500,-14681.308607565503
9,5000,-14681.308607565503
9,5500,-14681.308607565503
9,6000,-14681.308607565503
9,6500,-14681.308607565503
9,7000,-14681.308607565503
9,7500,-14681.308607565503
9,8000,-14681.308607565503
9,8500,-14681.308607565503
9,9000,-14681.308607565503
9,9500,-14681.308607565503
9,10000,-14681.308607565503
9,10500,-14681.308607565503
9,11000,-14681.308607565503
9,11500,-14681.308607565503
9,12000,-14681.308607565503
9,12500,-14681.308607565503
9,13000,-14681.308607565503
9,13500,-14681.308607565503
9,14000,-14681.308607565503
9,14500,-14681.308607565503
9,15000,-14681.308607565503
9,15500,-14681.308607565503
9,16000,-14681.308607565503
9,16500,-14681.308607565503
9,17000,-14681.308607565503
9,17500,-14681.308607565503
9,18000,-14681.308607565503
9,18500,-14681.308607565503
9,19000,-14681.308607565503
9,19500,-14681.308607565503
10,0,-17464.568516864027
10,500,-15317.64955451566
10,1000,-14681.308607565503
10,1500,-14681.308607565503
10,2000,-14681.308607565503
10,2500,-14681.308607565503
10,3000,-14681.308607565503
10,3500,-14681.308607565503
10,4000,-14681.308607565503
10,4500,-14681.308607565503
10,5000,-14681.308607565503
10,5500,-14681.308607565503
10,6000,-14681.308607565503
10,6500,-14681.308607565503
10,7000,-14681.308607565503
10,7500,-14681.308607565503
10,8000,-14681.308607565503
10,8500,-14681.308607565503
10,9000,-14681.308607565503
10,9500,-14681.308607565503
10,10000,-14681.308607565503
10,10500,-14681.308607565503
10,11000,-14681.308607565503
10,11500,-14681.308607565503
10,12000,-14681.308607565503
10,12500,-14681.308607565503
10,13000,-14681.308607565503
10,13500,-14681.308607565503
10,14000,-14681.308607565503
10,14500,-14681.308607565503
10,15000,-14681.308607565503
10,15500,-14681.308607565503
10,16000,-14681.308607565503
10,16500,-14681.308607565503
10,17000,-14681.308607565503
10,17500,-14681.308607565503
10,18000,-14681.308607565503
10,18500,-14681.308607565503
10,19000,-14681.308607565503
10,19500,-14681.308607565503
11,0,-17402.413764393372
11,500,-15538.738089056338
11,1000,-14843.71541565901
11,1500,-14681.308607565503
11,2000,-14681.308607565503
11,2500,-14681.308607565503
11,3000,-14681.308607565503
11,3500,-14681.308607565503
11,4000,-14681.308607565503
11,4500,-14681.308607565503
11,5000,-14681.308607565503
11,5500,-14681.308607565503
11,6000,-14681.308607565503
11,6500,-14681.308607565503
11,7000,-14681.308607565503
11,7500,-14681.308607565503
11,8000,-14681.308607565503
11,8500,-14681.308607565503
11,9000,-14681.308607565503
11,9500,-14681.308607565503
11,10000,-14681.308607565503
11,10500,-14681.308607565503
11,11000,-14681.308607565503
11,11500,-14681.308607565503
11,12000,-14681.308607565503
11,12500,-14681.308607565503
11,13000,-14681.308607565503
11,13500,-14681.308607565503
11,14000,-14681.308607565503
11,14500,-14681.308607565503
11,15000,-14681.308607565503
11,15500,-14681.308607565503
11,16000,-14681.308607565503
11,16500,-14681.308607565503
11,17000,-14681.308607565503
11,17500,-14681.308607565503
11,18000,-14681.308607565503
11,18500,-14681.308607565503
11,19000,-14681.308607565503
11,19500,-14681.308607565503
12,0,-17464.568516864027
12,500,-15935.395414293653
12,1000,-15592.355129734276
12,1500,-15592.355129734276
12,2000,-14681.308607565503
12,2500,-14681.308607565503
12,3000,-14681.308607565503
12,3500,-14681.308607565503
12,4000,-14681.308607565503
12,4500,-14681.308607565503
12,5000,-14681.308607565503
12,5500,-14681.308607565503
12,6000,-14681.308607565503
12,6500,-14681.308607565503
12,7000,-14681.308607565503
12,7500,-14681.308607565503
12,8000,-14681.308607565503
12,8500,-14681.308607565503
12,9000,-14681.308607565503
12,9500,-14681.308607565503
12,10000,-14681.308607565503
12,10500,-14681.308607565503
12,11000,-14681.308607565503
12,11500,-14681.308607565503
12,12000,-14681.308607565503
12,12500,-14681.308607565503
12,13000,-14681.308607565503
12,13500,-14681.308607565503
12,14000,-14681.308607565503
12,14500,-14681.308607565503
12,15000,-14681.308607565503
12,15500,-14681.308607565503
12,16000,-14681.308607565503
12,16500,-14681.308607565503
12,17000,-14681.308607565503
12,17500,-14681.308607565503
12,18000,-14681.308607565503
12,18500,-14681.308607565503
12,19000,-14681.308607565503
12,19500,-14681.308607565503
13,0,-17464.568516864027
13,500,-15605.72862766334
13,1000,-15353.626759295123
13,1500,-14696.82992865629
13,2000,-14696.82992865629
13,2500,-14681.308607565503
13,3000,-14681.308607565503
13,3500,-14681.308607565503
13,4000,-14681.308607565503
13,4500,-14681.308607565503
13,5000,-14681.308607565503
13,5500,-14681.308607565503
13,6000,-14681.308607565503
13,6500,-14681.308607565503
13,7000,-14681.308607565503
13,7500,-14681.308607565503
13,8000,-14681.308607565503
13,8500,-14681.308607565503
13,9000,-14681.308607565503
13,9500,-14681.308607565503
13,10000,-14681.308607565503
13,10500,-14681.308607565503
13,11000,-14681.308607565503
13,11500,-14681.308607565503
13,12000,-14681.308607565503
13,12500,-14681.308607565503
13,13000,-14681.308607565503
13,13500,-14681.308607565503
13,14000,-14681.308607565503
13,14500,-14681.308607565503
13,15000,-14681.308607565503
13,15500,-14681.308607565503
13,16000,-14681.308607565503
13,16500,-14681.308607565503
13,17000,-14681.308607565503
13,17500,-14681.308607565503
13,18000,-14681.308607565503
13,18500,-14681.308607565503
13,19000,-14681.308607565503
13,19500,-14681.308607565503
14,0,-17464.568516864027
14,500,-15905.603869069477
14,1000,-14681.308607565503
14,1500,-14681.308607565503
14,2000,-14681.308607565503
14,2500,-14681.308607565503
14,3000,-14681.308607565503
14,3500,-14681.308607565503
14,4000,-14681.308607565503
14,4500,-14681.308607565503
14,5000,-14681.308607565503
14,5500,-14681.308607565503
14,6000,-14681.308607565503
14,6500,-14681.308607565503
14,7000,-14681.308607565503
14,7500,-14681.308607565503
14,8000,-14681.308607565503
14,8500,-14681.308607565503
14,9000,-14681.308607565503
14,9500,-14681.308607565503
14,10000,-14681.308607565503
14,10500,-14681.308607565503
14,11000,-14681.308607565503
14,11500,-14681.308607565503
14,12000,-14681.308607565503
14,12500,-14681.308607565503
14,13000,-14681.308607565503
14,13500,-14681.308607565503
14,14000,-14681.308607565503
14,14500,-14681.308607565503
14,15000,-14681.308607565503
14,15500,-14681.308607565503
14,16000,-14681.308607565503
14,16500,-14681.308607565503
14,17000,-14681.308607565503
14,17500,-14681.308607565503
14,18000,-14681.308607565503
14,18500,-14681.308607565503
14,19000,-14681.308607565503
14,19500,-14681.308607565503
15,0,-17464.568516864027
15,500,-15317.301870203746
15,1000,-15317.301870203746
15,1500,-15317.301870203746
15,2000,-15317.301870203746
15,2500,-14681.308607565503
15,3000,-14681.308607565503
15,3500,-14681.308607565503
15,4000,-14681.308607565503
15,4500,-14681.308607565503
15,5000,-14681.308607565503
15,5500,-14681.308607565503
15,6000,-14681.308607565503
15,6500,-14681.308607565503
15,7000,-14681.308607565503
15,7500,-14681.308607565503
15,8000,-14681.308607565503
15,8500,-14681.308607565503
15,9000,-14681.308607565503
15,9500,-14681.308607565503
15,10000,-14681.308607565503
15,10500,-14681.308607565503
15,11000,-14681.308607565503
15,11500,-14681.308607565503
15,12000,-14681.308607565503
15,12500,-14681.308607565503
15,13000,-14681.308607565503
15,13500,-14681.308607565503
15,14000,-14681.308607565503
15,14500,-14681.308607565503
15,15000,-14681.308607565503
15,15500,-14681.308607565503
15,16000,-14681.308607565503
15,16500,-14681.308607565503
15,17000,-14681.308607565503
15,17500,-14681.308607565503
15,18000,-14681.308607565503
15,18500,-14681.308607565503
15,19000,-14681.308607565503
15,19500,-14681.308607565503
16,0,-17464.568516864027
16,500,-15382.241292546243
16,1000,-14911.437813997505
16,1500,-14681.308607565503
16,2000,-14681.308607565503
16,2500,-14681.308607565503
16,3000,-14681.308607565503
16,3500,-14681.308607565503
16,4000,-14681.308607565503
16,4500,-14681.308607565503
16,5000,-14681.308607565503
16,5500,-14681.308607565503
16,6000,-14681.308607565503
16,6500,-14681.308607565503
16,7000,-14681.308607565503
16,7500,-14681.308607565503
16,8000,-14681.308607565503
16,8500,-14681.308607565503
16,9000,-14681.308607565503
16,9500,-14681.308607565503
16,10000,-14681.308607565503
16,10500,-14681.308607565503
16,11000,-14681.308607565503
16,11500,-14681.308607565503
16,12000,-14681.308607565503
16,12500,-14681.308607565503
16,13000,-14681.308607565503
16,13500,-14681.308607565503
16,14000,-14681.308607565503
16,14500,-14681.308607565503
16,15000,-14681.308607565503
16,15500,-14681.308607565503
16,16000,-14681.308607565503
16,16500,-14681.308607565503
16,17000,-14681.308607565503
16,17500,-14681.308607565503
16,18000,-14681.308607565503
16,18500,-14681.308607565503
16,19000,-14681.308607565503
16,19500,-14681.308607565503
17,0,-17464.568516864027
17,500,-14934.044680354038
17,1000,-14827.645272046742
17,1500,-14681.308607565503
17,2000,-14681.308607565503
17,2500,-14681.308607565503
17,3000,-14681.308607565503
17,3500,-14681.308607565503
17,4000,-14681.308607565503
17,4500,-14681.308607565503
17,5000,-14681.308607565503
17,5500,-14681.308607565503
17,6000,-14681.308607565503
17,6500,-14681.308607565503
17,7000,-14681.308607565503
17,7500,-14681.308607565503
17,8000,-14681.308607565503
17,8500,-14681.308607565503
17,9000,-14681.308607565503
17,9500,-14681.308607565503
17,10000,-14681.308607565503
17,10500,-14681.308607565503
17,11000,-14681.308607565503
17,11500,-14681.308607565503
17,12000,-14681.308607565503
17,12500,-14681.308607565503
17,13000,-14681.308607565503
17,13500,-14681.308607565503
17,14000,-14681.308607565503
17,14500,-14681.308607565503
17,15000,-14681.308607565503
17,15500,-14681.308607565503
