worker,iteration,fitness
0,0,-23391.198595534333
0,500,-16429.246383054444
0,1000,-15210.110480206318
0,1500,-14895.824562769463
0,2000,-14681.308607565503
0,2500,-14681.308607565503
0,3000,-14681.308607565503
0,3500,-14681.308607565503
0,4000,-14681.308607565503
0,4500,-14681.308607565503
0,5000,-14681.308607565503
0,5500,-14681.308607565503
0,6000,-14681.308607565503
0,6500,-14681.308607565503
0,7000,-14681.308607565503
0,7500,-14681.308607565503
0,8000,-14681.308607565503
0,8500,-14681.308607565503
0,9000,-14681.308607565503
0,9500,-14681.308607565503
0,10000,-14681.308607565503
0,10500,-14681.308607565503
0,11000,-14681.308607565503
0,11500,-14681.308607565503
0,12000,-14681.308607565503
0,12500,-14681.308607565503
0,13000,-14681.308607565503
0,13500,-14681.308607565503
0,14000,-14681.308607565503
0,14500,-14681.308607565503
0,15000,-14681.308607565503
0,15500,-14681.308607565503
0,16000,-14681.308607565503
0,16500,-14681.308607565503
0,17000,-14681.308607565503
0,17500,-14681.308607565503
0,18000,-14681.308607565503
0,18500,-14681.308607565503
0,19000,-14681.308607565503
0,19500,-14681.308607565503
1,0,-22560.711990533913
1,500,-16027.541562327337
1,1000,-14798.207889316744
1,1500,-14681.308607565503
1,2000,-14681.308607565503
1,2500,-14681.308607565503
1,3000,-14681.308607565503
1,3500,-14681.308607565503
1,4000,-14681.308607565503
1,4500,-14681.308607565503
1,5000,-14681.308607565503
1,5500,-14681.308607565503
1,6000,-14681.308607565503
1,6500,-14681.308607565503
1,7000,-14681.308607565503
1,7500,-14681.308607565503
1,8000,-14681.308607565503
1,8500,-14681.308607565503
1,9000,-14681.308607565503
1,9500,-14681.308607565503
1,10000,-14681.308607565503
1,10500,-14681.308607565503
1,11000,-14681.308607565503
1,11500,-14681.308607565503
1,12000,-14681.308607565503
1,12500,-14681.308607565503
1,13000,-14681.308607565503
1,13500,-14681.308607565503
1,14000,-14681.308607565503
1,14500,-14681.308607565503
1,15000,-14681.308607565503
1,15500,-14681.308607565503
1,16000,-14681.308607565503
1,16500,-14681.308607565503
1,17000,-14681.308607565503
1,17500,-14681.308607565503
1,18000,-14681.308607565503
1,18500,-14681.308607565503
1,19000,-14681.308607565503
1,19500,-14681.308607565503
2,0,-23946.416996282886
2,500,-17713.309325534163
2,1000,-15515.213547514084
2,1500,-14681.308607565503
2,2000,-14681.308607565503
2,2500,-14681.308607565503
2,3000,-14681.308607565503
2,3500,-14681.308607565503
2,4000,-14681.308607565503
2,4500,-14681.308607565503
2,5000,-14681.308607565503
2,5500,-14681.308607565503
2,6000,-14681.308607565503
2,6500,-14681.308607565503
2,7000,-14681.308607565503
2,7500,-14681.308607565503
2,8000,-14681.308607565503
2,8500,-14681.308607565503
2,9000,-14681.308607565503
2,9500,-14681.308607565503
2,10000,-14681.308607565503
2,10500,-14681.308607565503
2,11000,-14681.308607565503
2,11500,-14681.308607565503
2,12000,-14681.308607565503
2,12500,-14681.308607565503
2,13000,-14681.308607565503
2,13500,-14681.308607565503
2,14000,-14681.308607565503
2,14500,-14681.308607565503
2,15000,-14681.308607565503
2,15500,-14681.308607565503
2,16000,-14681.308607565503
2,16500,-14681.308607565503
2,17000,-14681.308607565503
2,17500,-14681.308607565503
2,18000,-14681.308607565503
2,18500,-14681.308607565503
2,19000,-14681.308607565503
2,19500,-14681.308607565503
3,0,-24667.80842984903
3,500,-15922.600927353451
3,1000,-15081.479542679608
3,1500,-14681.308607565503
3,2000,-14681.308607565503
3,2500,-14681.308607565503
3,3000,-14681.308607565503
3,3500,-14681.308607565503
3,4000,-14681.308607565503
3,4500,-14681.308607565503
3,5000,-14681.308607565503
3,5500,-14681.308607565503
3,6000,-14681.308607565503
3,6500,-14681.308607565503
3,7000,-14681.308607565503
3,7500,-14681.308607565503
3,8000,-14681.308607565503
3,8500,-14681.308607565503
3,9000,-14681.308607565503
3,9500,-14681.308607565503
3,10000,-14681.308607565503
3,10500,-14681.308607565503
3,11000,-14681.308607565503
3,11500,-14681.308607565503
3,12000,-14681.308607565503
3,12500,-14681.308607565503
3,13000,-14681.308607565503
3,13500,-14681.308607565503
3,14000,-14681.308607565503
3,14500,-14681.308607565503
3,15000,-14681.308607565503
3,15500,-14681.308607565503
3,16000,-14681.308607565503
3,16500,-14681.308607565503
3,17000,-14681.308607565503
3,17500,-14681.308607565503
3,18000,-14681.308607565503
3,18500,-14681.308607565503
3,19000,-14681.308607565503
3,19500,-14681.308607565503
4,0,-20974.326561480106
4,500,-16957.02348346289
4,1000,-15105.284518289178
4,1500,-15026.198858142992
4,2000,-14681.308607565503
4,2500,-14681.308607565503
4,3000,-14681.308607565503
4,3500,-14681.308607565503
4,4000,-14681.308607565503
4,4500,-14681.308607565503
4,5000,-14681.308607565503
4,5500,-14681.308607565503
4,6000,-14681.308607565503
4,6500,-14681.308607565503
4,7000,-14681.308607565503
4,7500,-14681.308607565503
4,8000,-14681.308607565503
4,8500,-14681.308607565503
4,9000,-14681.308607565503
4,9500,-14681.308607565503
4,10000,-14681.308607565503
4,10500,-14681.308607565503
4,11000,-14681.308607565503
4,11500,-14681.308607565503
4,12000,-14681.308607565503
4,12500,-14681.308607565503
4,13000,-14681.308607565503
4,13500,-14681.308607565503
4,14000,-14681.308607565503
4,14500,-14681.308607565503
4,15000,-14681.308607565503
