worker,iteration,fitness
0,0,-7266.299539903403
0,500,-6604.574804580173
0,1000,-6575.988568103552
0,1500,-6796.685091985643
0,2000,-6954.228271265133
0,2500,-6277.431148598131
0,3000,-6383.231123055491
0,3500,-6504.30185022089
0,4000,-6738.8473351651255
0,4500,-6460.52756619529
0,5000,-6016.890593031775
0,5500,-6349.350562360881
0,6000,-6315.333143268128
0,6500,-6196.05365629525
0,7000,-6372.596373184197
0,7500,-6056.158174995664
0,8000,-6757.076038955702
0,8500,-6185.7932928878445
0,9000,-6517.68785152861
0,9500,-5999.417421091419
0,10000,-5980.89170619385
0,10500,-6089.577842407536
0,11000,-6318.362820619475
0,11500,-6050.231116160204
0,12000,-6335.522945171842
0,12500,-5861.255748202827
0,13000,-5774.544493462071
0,13500,-5807.150192319865
0,14000,-6039.048177409304
0,14500,-5685.75867942368
0,15000,-5813.824236548279
0,15500,-5554.272340493339
0,16000,-5568.9762123795745
0,16500,-5686.418848902798
0,17000,-5567.787147438508
0,17500,-5526.806219431515
0,18000,-5448.77269416115
0,18500,-5440.244358568461
0,19000,-5439.653663160256
0,19500,-5439.653663160256
1,0,-6932.589630034048
1,500,-6554.490709484782
1,1000,-6610.292026366995
1,1500,-6383.580581981555
1,2000,-7261.167759222173
1,2500,-6870.25667082621
1,3000,-6505.335757030278
1,3500,-6431.354863577191
1,4000,-6462.5237448129565
1,4500,-6373.4231475835695
1,5000,-6178.270012643676
1,5500,-6594.415695400145
1,6000,-6247.488161408408
1,6500,-6320.451727591091
1,7000,-6194.000387059719
1,7500,-6457.472052722195
1,8000,-6867.604588958626
1,8500,-6429.744640844783
1,9000,-6241.165812146446
1,9500,-6174.638829792091
1,10000,-6527.908245483814
1,10500,-6421.804868989515
1,11000,-6087.468467467583
1,11500,-6305.214543880382
1,12000,-5916.940108510271
1,12500,-5988.47316690395
1,13000,-5774.594908294061
1,13500,-5813.213815509334
1,14000,-5889.350434809516
1,14500,-5890.9676565657055
1,15000,-5708.1509258092765
1,15500,-5817.162695802366
1,16000,-5697.5717846381685
1,16500,-5622.061264960224
1,17000,-5480.8261899403415
1,17500,-5493.776316765654
1,18000,-5455.2663878040385
1,18500,-5441.046513120519
1,19000,-5439.6671598753765
1,19500,-5439.653663160256
2,0,-7515.57882684771
2,500,-6590.361482363292
2,1000,-6685.414847306416
2,1500,-5963.523964914162
2,2000,-7020.494567233615
2,2500,-6416.0219358326485
2,3000,-6352.584694678162
2,3500,-6270.770131945193
2,4000,-6241.382344217542
2,4500,-6295.522585721658
2,5000,-6253.402720130952
2,5500,-6253.644600276042
2,6000,-6130.827645470165
2,6500,-6442.666406744042
2,7000,-6464.000012970526
2,7500,-5975.131562162489
2,8000,-6089.755657523125
2,8500,-6131.703999691195
2,9000,-6218.499581311094
2,9500,-5916.364111854233
2,10000,-6004.213399509734
2,10500,-6163.503230394943
2,11000,-6084.564633375948
2,11500,-5820.316753265918
2,12000,-6076.289233577383
2,12500,-5887.258779298374
2,13000,-5791.99883376421
2,13500,-5926.249651998217
2,14000,-6065.339895727383
2,14500,-5726.381845196863
2,15000,-5807.6763545506665
2,15500,-5819.285624330609
2,16000,-5625.939241656696
2,16500,-5667.94440369499
2,17000,-5546.699870280091
2,17500,-5488.627193125994
2,18000,-5450.7223081929615
2,18500,-5440.0428082918315
2,19000,-5440.027192719322
