worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-8615.89272592576,etoainhsrdlumwycfgpbvkxjqz,fqlbutgjpecisomravxykwdhnz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,500,-8729.95048332005,etoainhsrdlumwycfgpbvkxjqz,lqefbjctsgpuronmiyhxakwvzd,fxmgliycbvkprjehzstquaownd,qkicfaygbnweojuxhptlsvrdmz
0,1000,-8273.946377550661,etoainhsrdlumwycfgpbvkxjqz,fjqubgyltpesohmviaxcnkwrdz,ucvpfiaybrkeogqxdtljsnhwmz,qkicfaygbnweojuxhptlsvrdmz
0,1500,-7719.355064264807,etoainhsrdlumwycfgpbvkxjqz,fluqbjmtpcesarziovkgdyhwnx,qgicfovmbwyeajuknptlsdrhzx,qkicfaygbnweojuxhptlsvrdmz
0,2000,-8419.240866951608,etoainhsrdlumwycfgpbvkxjqz,qtubfjaeplmwrgycisozvnkhdx,bzclqisafhnmrjuodpetwvgkyx,qkicfaygbnweojuxhptlsvrdmz
0,2500,-8419.670937993389,etoainhsrdlumwycfgpbvkxjqz,ftuqbjmegdoncaxlpsziryhvkw,qildfpsmbvyocjuzkgetnrahxw,qkicfaygbnweojuxhptlsvrdmz
0,3000,-8318.083542629158,etoainhsrdlumwycfgpbvkxjqz,fjuqbcwleapvgzrtmiskoxdhny,qktafmiwbhxpgcusneljvozdry,qkicfaygbnweojuxhptlsvrdmz
0,3500,-8236.333210703613,etoainhsrdlumwycfgpbvkxjqz,fkuqblmcjtiseargyhpxowzdnv,qxgtfyhmbdwielupnjcksoazrv,qkicfaygbnweojuxhptlsvrdmz
0,4000,-8126.272925401103,etoainhsrdlumwycfgpbvkxjqz,fpuqbjmlocesgadrytxzviwnkh,qzrcfytmbniegjuxkolpsvawdh,qkicfaygbnweojuxhptlsvrdmz
0,4500,-7395.124998553418,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpzescrmoxiywvkahnd,qwozfxigbhkecjuynptlsvramd,qkicfaygbnweojuxhptlsvrdmz
0,5000,-7367.521731084506,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpresonmikcxwyazvdh,qwirfkcgbvaeojuxdptlsynzmh,qkicfaygbnweojuxhptlsvrdmz
0,5500,-7187.78491252004,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesowmiaynkrxhzdv,qkicfaygbzxeojundptlsrwhmv,qkicfaygbnweojuxhptlsvrdmz
0,6000,-7215.009114950877,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormivzaxhykndw,qxicfvzgbnyeojuadptlshrkmw,qkicfaygbnweojuxhptlsvrdmz
0,6500,-7049.0949154243,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormkyixavwzdhn,qakcfyigbdweojuxhptlsvrzmn,qkicfaygbnweojuxhptlsvrdmz
0,7000,-7107.100258114715,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiykxvnawzhd,qvicfykgbzaeojuxhptlsnrwmd,qkicfaygbnweojuxhptlsvrdmz
0,7500,-6830.89301627328,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwnzhd,qkicfaygbzweojuxhptlsvrnmd,qkicfaygbnweojuxhptlsvrdmz
0,8000,-7066.867641888178,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesoamivyrxdwknhz,qxicfvygbnweojurhptlsdakmz,qkicfaygbnweojuxhptlsvrdmz
0,8500,-7065.087599915816,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesoymirxvkawdzhn,qkicfrxgbzweojuvhptlsaydmn,qkicfaygbnweojuxhptlsvrdmz
0,9000,-6917.654688916152,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiawxkvynhzd,qkicfawgbhyeojuxzptlsvrnmd,qkicfaygbnweojuxhptlsvrdmz
0,9500,-6933.380129407734,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiawxkvyhznd,qkicfawgbzyeojuxnptlsvrhmd,qkicfaygbnweojuxhptlsvrdmz
0,10000,-6881.2687379167055,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiaxykvwdzhn,qkicfaxgbzweojuyhptlsvrdmn,qkicfaygbnweojuxhptlsvrdmz
0,10500,-7009.644032721074,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormixahkvwdzny,qkicfxagbzweojuhnptlsvrdmy,qkicfaygbnweojuxhptlsvrdmz
0,11000,-6981.762471031893,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormizyxkvwahnd,qkicfzygbhweojuxnptlsvramd,qkicfaygbnweojuxhptlsvrdmz
0,11500,-6927.916952633165,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesarmikyxovwdnzh,qoicfkygbnweajuxzptlsvrdmh,qkicfaygbnweojuxhptlsvrdmz
0,12000,-7050.975552007686,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesdrmixkaovwznhy,qoicfxkgbnwedjuahptlsvrzmy,qkicfaygbnweojuxhptlsvrdmz
0,12500,-6978.468518341133,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiwaxkvndyhz,qkicfwagbyneojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,13000,-6962.222465202155,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiwyakvxndhz,qkicfwygbdxeojuahptlsvrnmz,qkicfaygbnweojuxhptlsvrdmz
0,13500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,14000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,14500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,15000,-6808.429900153861,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdhzn,qkicfaygbhweojuxzptlsvrdmn,qkicfaygbnweojuxhptlsvrdmz
0,15500,-6797.168810944493,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdzhn,qkicfaygbzweojuxhptlsvrdmn,qkicfaygbnweojuxhptlsvrdmz
0,16000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,16500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,17000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,17500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,18000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
