worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-7985.605291700437,etoainhsrdlumwycfgpbvkxjqz,flqbutgjpecisomravxykwdhnz,byrefavguhwcstqxnpjlikodmz,qkicfaygbnweojuxhptlsvrdmz
0,500,-9605.544906319354,etoainhsrdlumwycfgpbvkxjqz,fdsligcrqbpztavoeujhmxnwky,lhobfeuciwxptgsjkqrdzmanvy,qkicfaygbnweojuxhptlsvrdmz
0,1000,-9727.87070192033,etoainhsrdlumwycfgpbvkxjqz,fdgbqmsjepthuaniwxvlkorzcy,blipfwxsqzotumgvcejdhkarny,qkicfaygbnweojuxhptlsvrdmz
0,1500,-9824.731416625662,etoainhsrdlumwycfgpbvkxjqz,qbtueiglkmpjvfxdhnsrcwyazo,urdmqhngeawpvitszklbjcfyxo,qkicfaygbnweojuxhptlsvrdmz
0,2000,-9964.672373003961,etoainhsrdlumwycfgpbvkxjqz,tfbqaedlrcxpzyjguwkmvhnsoi,qmgctuwdashxzebkorlfpvynji,qkicfaygbnweojuxhptlsvrdmz
0,2500,-9842.47810394374,etoainhsrdlumwycfgpbvkxjqz,tcgmuekqxlbfhznjvdsrypoawi,mrjltvdkuapbhegswxqcfyzoni,qkicfaygbnweojuxhptlsvrdmz
0,3000,-8956.602810958359,etoainhsrdlumwycfgpbvkxjqz,ujfqaeviompblwgcrdtsnyzhxk,qscmurdvahypleftxoijbnwzgk,qkicfaygbnweojuxhptlsvrdmz
0,3500,-10168.674516632234,etoainhsrdlumwycfgpbvkxjqz,lgycqxdtubnmopkfwhsjizreav,cjfblwhdqeznoxysautgmiprkv,qkicfaygbnweojuxhptlsvrdmz
0,4000,-10246.707367313502,etoainhsrdlumwycfgpbvkxjqz,unigjfcelpxvoqbyhdmkrtwsza,gkypuhdcjstxofimzlenvrqwba,qkicfaygbnweojuxhptlsvrdmz
0,4500,-9417.590182063232,etoainhsrdlumwycfgpbvkxjqz,ujfbxcmlqphwdoakegvtsriyzn,btkpuegmxyrhdcfvzqljwsoian,qkicfaygbnweojuxhptlsvrdmz
0,5000,-9218.395838376993,etoainhsrdlumwycfgpbvkxjqz,uhfblpmkgrqdoeajvstcyixnzw,bcjruvsmlniqopftzgkhdyexaw,qkicfaygbnweojuxhptlsvrdmz
0,5500,-9795.212993751227,etoainhsrdlumwycfgpbvkxjqz,fvxlcqkbprtsenygmhjizoduaw,ligrfmhkcuoteqxjapbvszndyw,qkicfaygbnweojuxhptlsvrdmz
0,6000,-8931.984641311494,etoainhsrdlumwycfgpbvkxjqz,fiusqvwtlbejcongpxmhdayrzk,shgbfpxwqraecvumzltijdoynk,qkicfaygbnweojuxhptlsvrdmz
0,6500,-9414.877297256451,etoainhsrdlumwycfgpbvkxjqz,mglbfijetykprocuhqsxvandzw,bxuymhqjfdakrilsztegpvoncw,qkicfaygbnweojuxhptlsvrdmz
0,7000,-10135.937649305566,etoainhsrdlumwycfgpbvkxjqz,qwbpirgsftohlkxeuyjadvnzcm,paetquygizvolrbjcfswhdknxm,qkicfaygbnweojuxhptlsvrdmz
0,7500,-9227.022316800516,etoainhsrdlumwycfgpbvkxjqz,qprlfxsbjcyegmiunvwtzaokdh,ltucqnvsfkaygxrwdjbpezmoih,qkicfaygbnweojuxhptlsvrdmz
0,8000,-9667.388763890624,etoainhsrdlumwycfgpbvkxjqz,bumfeqodgsptlwyckrjaxnzvih,facsbkroevnplqmjigdutxwzyh,qkicfaygbnweojuxhptlsvrdmz
0,8500,-8823.077723086299,etoainhsrdlumwycfgpbvkxjqz,ftubqlvgisewjzypaxdkcnmorh,bkpsfaxvqonejludrigtwczmyh,qkicfaygbnweojuxhptlsvrdmz
0,9000,-9667.865109897048,etoainhsrdlumwycfgpbvkxjqz,ltqmbjuefawgncspikyzrdhovx,mzpalikubodwnjqyvfetgrchsx,qkicfaygbnweojuxhptlsvrdmz
0,9500,-8484.59923835619,etoainhsrdlumwycfgpbvkxjqz,flsqbpvtgjyueikoxmwchdrnza,qcojfxmvbndyepswzgtluhirka,qkicfaygbnweojuxhptlsvrdmz
0,10000,-8950.329586256483,etoainhsrdlumwycfgpbvkxjqz,fluvqjgbctprxizyokwnmseadh,vnytfokgqaspxjuwdcblrmiezh,qkicfaygbnweojuxhptlsvrdmz
0,10500,-8445.527482801781,etoainhsrdlumwycfgpbvkxjqz,flquzcgtpibsjmdroweyvakxnh,uyrifowgzxabjcqenptlsvmkdh,qkicfaygbnweojuxhptlsvrdmz
0,11000,-8807.22091476173,etoainhsrdlumwycfgpbvkxjqz,qtfugjvrpolbsheckmdanywxzi,uacoqkmvgxylsjfdzprtbnhwei,qkicfaygbnweojuxhptlsvrdmz
0,11500,-8335.414935257193,etoainhsrdlumwycfgpbvkxjqz,flqbupgtejahmwdvrkicsonxzy,bcvjfrkguxoampqizetlhswndy,qkicfaygbnweojuxhptlsvrdmz
0,12000,-7990.765474023771,etoainhsrdlumwycfgpbvkxjqz,fluqojgtpxebvhmsrciazkwdny,qasxfrcgodkevjuinptlbzhwmy,qkicfaygbnweojuxhptlsvrdmz
0,12500,-8073.5564736262795,etoainhsrdlumwycfgpbvkxjqz,fluqbogejmpxcsykhtiavwrzdn,qakmfhtgbzwpcouidjelxvsryn,qkicfaygbnweojuxhptlsvrdmz
0,13000,-7827.945345471972,etoainhsrdlumwycfgpbvkxjqz,fluqbtgierpsjamwkhcxvoydzn,qxwrfkhgbdopjtuczeilsvaymn,qkicfaygbnweojuxhptlsvrdmz
0,13500,-7827.372102364942,etoainhsrdlumwycfgpbvkxjqz,ftuqbiglpoescadjzyxmvwrkhn,qmjofzygbkweciuxhpltsvardn,qkicfaygbnweojuxhptlsvrdmz
0,14000,-7887.310465564419,etoainhsrdlumwycfgpbvkxjqz,fluqbtgxprjscwkoeaimvzhdyn,qmorfeagbdzjctuiypxlsvwhkn,qkicfaygbnweojuxhptlsvrdmz
0,14500,-7846.307512865996,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpiksvraozcyenwhdxm,qeoifzcgbdwkvjuyxptlsnrham,qkicfaygbnweojuxhptlsvrdmz
0,15000,-7427.906191472622,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpoesyrncmwakvidzhx,qkcofmwgbzieyjuahptlsvrdnx,qkicfaygbnweojuxhptlsvrdmz
0,15500,-6931.167906655381,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpyesormiacxkvwdnhz,qkiyfacgbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,16000,-6808.429900153861,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdhzn,qkicfaygbhweojuxzptlsvrdmn,qkicfaygbnweojuxhptlsvrdmz
0,16500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,17000,-6797.168810944493,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdzhn,qkicfaygbzweojuxhptlsvrdmn,qkicfaygbnweojuxhptlsvrdmz
0,17500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,18000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,18500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,19000,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
0,19500,-6794.348261349827,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormiayxkvwdnhz,qkicfaygbnweojuxhptlsvrdmz,qkicfaygbnweojuxhptlsvrdmz
1,0,-8656.850097017721,etoainhsrdlumwycfgpbvkxjqz,fqlbutgjpecisomravxydwkhnz,byrefavguhwcstlxnpjqidokmz,qkicfaygbnweojuxhptlsvrdmz
1,500,-9892.757263585538,etoainhsrdlumwycfgpbvkxjqz,qvilgbdfuctyskahxomzjpwrne,lzhcqxodgrptsbimnufvyjkwae,qkicfaygbnweojuxhptlsvrdmz
1,1000,-9829.829262205523,etoainhsrdlumwycfgpbvkxjqz,pribuldgjkqmensfwtczaxhovy,bzfkpwtduoxqelicvjgrmanhsy,qkicfaygbnweojuxhptlsvrdmz
1,1500,-9770.477689204921,etoainhsrdlumwycfgpbvkxjqz,wequbindglcvtjformpkhxaszy,ukolwrmnbsxctiqpzgdevhjafy,qkicfaygbnweojuxhptlsvrdmz
1,2000,-9790.855669048287,etoainhsrdlumwycfgpbvkxjqz,qruefdptscabiyhlgvmnwxzokj,enlcqgvpfoxaidumkstrbwyzhj,qkicfaygbnweojuxhptlsvrdmz
1,2500,-10096.07889072837,etoainhsrdlumwycfgpbvkxjqz,fextboldyrqkaucpsgijvwznmh,tjprfsglbnwqaoximydekvuzch,qkicfaygbnweojuxhptlsvrdmz
1,3000,-9745.213156686887,etoainhsrdlumwycfgpbvkxjqz,uarqfblcejyndgpstvimwzhoxk,qmsjutvlfozydbrixecanwghpk,qkicfaygbnweojuxhptlsvrdmz
1,3500,-10342.923958121546,etoainhsrdlumwycfgpbvkxjqz,mqlyfvzsrxbuajcgpenikotdwh,yigxmpezfdobavlnwrsqukjtch,qkicfaygbnweojuxhptlsvrdmz
1,4000,-10063.348086001783,etoainhsrdlumwycfgpbvkxjqz,sqjlfuvymhtdnzbgxockriepwa,lkghsxovfpitnujcwmyqdrzeba,qkicfaygbnweojuxhptlsvrdmz
1,4500,-9869.493578313528,etoainhsrdlumwycfgpbvkxjqz,lfiuqpbagmrychjktvwnodsxze,unkmltvbqxdrcpiwzgafyohsje,qkicfaygbnweojuxhptlsvrdmz
1,5000,-9331.308493726325,etoainhsrdlumwycfgpbvkxjqz,itsqfuolgpxbjmezknvcyrdwah,qczpiknofwrxjusvagltbymdeh,qkicfaygbnweojuxhptlsvrdmz
1,5500,-10101.001556654703,etoainhsrdlumwycfgpbvkxjqz,iqwfubndxytgchpmvjlserzako,fsmyivjnuartcbwlkxdqgehzpo,qkicfaygbnweojuxhptlsvrdmz
1,6000,-9782.50970961182,etoainhsrdlumwycfgpbvkxjqz,fpxyeqmsulbragjtovhincdzwk,yitlfovmezcbaqxhwusprngdjk,qkicfaygbnweojuxhptlsvrdmz
1,6500,-9077.246408208239,etoainhsrdlumwycfgpbvkxjqz,qcbfujlergawimnzptsvkydhxo,fvzgqptluhyaijbsxrecwkmdno,qkicfaygbnweojuxhptlsvrdmz
