worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-8615.89272592576,etoainhsrdlumwycfgpbvkxjqz,fqlbutgjpecisomravxykwdhnz,byrefavguhwcstlxnpjqikodmz,qkicfaygbnweojuxhptlsvrdmz
0,500,-8559.313698407137,etoainhsrdlumwycfgpbvkxjqz,ujfqlrkbtephoyvgcidsmwxzna,qsgeuciklzwporfdntbjhmyxva,qkicfaygbnweojuxhptlsvrdmz
0,1000,-8829.190767456532,etoainhsrdlumwycfgpbvkxjqz,bjfuilxqsgacpktywemodrhvnz,uoygbwexivraplfmnsqjcdkhtz,qkicfaygbnweojuxhptlsvrdmz
0,1500,-8389.405295381217,etoainhsrdlumwycfgpbvkxjqz,bfuqgcetpjlsiwmovkryxzadhn,qyojbvkegdzlicurhptfsxwamn,qkicfaygbnweojuxhptlsvrdmz
0,2000,-8078.587394333827,etoainhsrdlumwycfgpbvkxjqz,btufqpgljacsowhmernikyvdzx,fimabergqdycopunzjltskwvhx,qkicfaygbnweojuxhptlsvrdmz
0,2500,-7673.561886838993,etoainhsrdlumwycfgpbvkxjqz,fluqbjgypecsoamtkvrwxizndh,qwtefkvgbnicojurdpylsxazmh,qkicfaygbnweojuxhptlsvrdmz
0,3000,-7112.456796798145,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesodmiawryvkxzhn,qyicfawgbzkeojurhptlsvdxmn,qkicfaygbnweojuxhptlsvrdmz
0,3500,-7357.153509884854,etoainhsrdlumwycfgpbvkxjqz,fluqbjgopcesirmtvawkdxynhz,qktcfvagbnxeijuwhpolsdrymz,qkicfaygbnweojuxhptlsvrdmz
0,4000,-7157.546374856892,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormkzixavwydnh,qakcfzigbdweojuxnptlsvrymh,qkicfaygbnweojuxhptlsvrdmz
0,4500,-7242.958140015,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesnrxikamovwhyzd,qoicfkagbywenjumzptlsvrhxd,qkicfaygbnweojuxhptlsvrdmz
0,5000,-7295.457768553614,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesmwniyxrovkazhd,qoicfyxgbzkemjurhptlsvwand,qkicfaygbnweojuxhptlsvrdmz
0,5500,-7066.122045528323,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesokmiayrvhwdxzn,qvicfaygbxweojurzptlshkdmn,qkicfaygbnweojuxhptlsvrdmz
0,6000,-7291.483941721043,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesohmiaxyzkrdwnv,qzicfaxgbwreojuynptlskhdmv,qkicfaygbnweojuxhptlsvrdmz
0,6500,-7357.7095592032265,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesyzmwaxiovndrhk,qowcfaxgbrneyjuihptlsvzdmk,qkicfaygbnweojuxhptlsvrdmz
0,7000,-7072.860152118752,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesodmiayrkvhnxzw,qkicfaygbxheojurzptlsvdnmw,qkicfaygbnweojuxhptlsvrdmz
0,7500,-7185.142326766248,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesoamikvwrxynzhd,qricfkvgbzyeojuwhptlsxanmd,qkicfaygbnweojuxhptlsvrdmz
0,8000,-7106.709933122719,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesoamidvrxywnzhk,qxicfdvgbzweojurhptlsyanmk,qkicfaygbnweojuxhptlsvrdmz
0,8500,-6997.6280272982185,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesormixkazvwdnhy,qzicfxkgbnweojuahptlsvrdmy,qkicfaygbnweojuxhptlsvrdmz
0,9000,-7081.190871525631,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpcesoymiwxakvrnhzd,qkicfwxgbhreojuazptlsvynmd,qkicfaygbnweojuxhptlsvrdmz
0,9500,-7091.649885425391,etoainhsrdlumwycfgpbvkxjqz,fluqbjgtpceswrmixaokvhdnzy,qkicfxagbnhewjuozptlsvrdmy,qkicfaygbnweojuxhptlsvrdmz
