worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-11684.789692523287,abcdefghijklmnopqrstuvwxyz,qfabglynxzsidmejohvwrkcptu,qfabglynxzsidmejohvwrkcptu,giaonvysthwmxpcqkdelrfjbuz
0,500,-9134.373465565586,abcdefghijklmnopqrstuvwxyz,jdipnhmrgkyxasluqeocfwtzvb,jdipnhmrgkyxasluqeocfwtzvb,giaonvysthwmxpcqkdelrfjbuz
0,1000,-8817.603913087614,abcdefghijklmnopqrstuvwxyz,chpvnxutlbaoedgizsjrywfqmk,chpvnxutlbaoedgizsjrywfqmk,giaonvysthwmxpcqkdelrfjbuz
0,1500,-8645.714101372701,abcdefghijklmnopqrstuvwxyz,gadlnpqucxvomethzsrjwfbkyi,gadlnpqucxvomethzsrjwfbkyi,giaonvysthwmxpcqkdelrfjbuz
0,2000,-8297.80076509882,abcdefghijklmnopqrstuvwxyz,gqldnjyscwufrptmzexoahvbki,gqldnjyscwufrptmzexoahvbki,giaonvysthwmxpcqkdelrfjbuz
0,2500,-8017.587746711089,abcdefghijklmnopqrstuvwxyz,grlinvysthzmqpcxbedowujkaf,grlinvysthzmqpcxbedowujkaf,giaonvysthwmxpcqkdelrfjbuz
0,3000,-7452.356713111476,abcdefghijklmnopqrstuvwxyz,gxqanmystkwvopczbdelrfjhui,gxqanmystkwvopczbdelrfjhui,giaonvysthwmxpcqkdelrfjbuz
0,3500,-7439.155758875791,abcdefghijklmnopqrstuvwxyz,gijqnvystbzeapcwkdolrmxhuf,gijqnvystbzeapcwkdolrmxhuf,giaonvysthwmxpcqkdelrfjbuz
0,4000,-7728.422673187344,abcdefghijklmnopqrstuvwxyz,gmuinxystfbeapcjqdolrwkzvh,gmuinxystfbeapcjqdolrwkzvh,giaonvysthwmxpcqkdelrfjbuz
0,4500,-7495.385707408185,abcdefghijklmnopqrstuvwxyz,gumqniystbweapcjhdolrxvkzf,gumqniystbweapcjhdolrxvkzf,giaonvysthwmxpcqkdelrfjbuz
0,5000,-7422.6498099126675,abcdefghijklmnopqrstuvwxyz,gzafniystwhmjpcobdelrxvquk,gzafniystwhmjpcobdelrxvquk,giaonvysthwmxpcqkdelrfjbuz
0,5500,-7281.548297416809,abcdefghijklmnopqrstuvwxyz,gfjanvystbwempcqkdolrxhiuz,gfjanvystbwempcqkdolrxhiuz,giaonvysthwmxpcqkdelrfjbuz
