worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-10588.233202734871,abcdefghijklmnopqrstuvwxyz,gdtiboyaflhxqewucrjszkmvpn,gdtiboyaflhxqewucrjszkmvpn,qkicfaygbnweojuxhptlsvrdmz
0,500,-10268.976725255201,abcdefghijklmnopqrstuvwxyz,silubanqthgzmprdwjvfxckyoe,silubanqthgzmprdwjvfxckyoe,qkicfaygbnweojuxhptlsvrdmz
0,1000,-9609.341865871424,abcdefghijklmnopqrstuvwxyz,khmefrgyuxzpdcqlotaibjvswn,khmefrgyuxzpdcqlotaibjvswn,qkicfaygbnweojuxhptlsvrdmz
0,1500,-9547.559105227616,abcdefghijklmnopqrstuvwxyz,licswhvxfkyagoptnbqurzemjd,licswhvxfkyagoptnbqurzemjd,qkicfaygbnweojuxhptlsvrdmz
0,2000,-9449.513103344903,abcdefghijklmnopqrstuvwxyz,umfsqiynbvwjogckhelxrtpzda,umfsqiynbvwjogckhelxrtpzda,qkicfaygbnweojuxhptlsvrdmz
0,2500,-8826.051766862098,abcdefghijklmnopqrstuvwxyz,qocrbheyuvnwapfgdtsljmkixz,qocrbheyuvnwapfgdtsljmkixz,qkicfaygbnweojuxhptlsvrdmz
0,3000,-9437.55945163076,abcdefghijklmnopqrstuvwxyz,ongirwsmfdalcvqezjubtkxyph,ongirwsmfdalcvqezjubtkxyph,qkicfaygbnweojuxhptlsvrdmz
0,3500,-9738.470398322432,abcdefghijklmnopqrstuvwxyz,jwbctqaygdhviuonzpfselmxrk,jwbctqaygdhviuonzpfselmxrk,qkicfaygbnweojuxhptlsvrdmz
0,4000,-9121.291173586336,abcdefghijklmnopqrstuvwxyz,ehlcqxkgpznovmuadftjbsywri,ehlcqxkgpznovmuadftjbsywri,qkicfaygbnweojuxhptlsvrdmz
0,4500,-10045.08781612912,abcdefghijklmnopqrstuvwxyz,sawrioqtfngvuhpcxelbjkzmdy,sawrioqtfngvuhpcxelbjkzmdy,qkicfaygbnweojuxhptlsvrdmz
0,5000,-9393.47462122146,abcdefghijklmnopqrstuvwxyz,qspnfgitzmojcwulkxbervhdya,qspnfgitzmojcwulkxbervhdya,qkicfaygbnweojuxhptlsvrdmz
0,5500,-10269.263195647525,abcdefghijklmnopqrstuvwxyz,jsptfihznuxroclvwbemaqgkdy,jsptfihznuxroclvwbemaqgkdy,qkicfaygbnweojuxhptlsvrdmz
0,6000,-9323.149941274494,abcdefghijklmnopqrstuvwxyz,bskiftycvzxauwqmdolpjrehgn,bskiftycvzxauwqmdolpjrehgn,qkicfaygbnweojuxhptlsvrdmz
0,6500,-8948.04873568918,abcdefghijklmnopqrstuvwxyz,uyohlkscqzapvmfbxtejwignrd,uyohlkscqzapvmfbxtejwignrd,qkicfaygbnweojuxhptlsvrdmz
0,7000,-9351.601580002938,abcdefghijklmnopqrstuvwxyz,fgocqysmtvnxjiuarhblepzwdk,fgocqysmtvnxjiuarhblepzwdk,qkicfaygbnweojuxhptlsvrdmz
0,7500,-8935.703042138346,abcdefghijklmnopqrstuvwxyz,uemwqaigknyrotbzsjflxhpvcd,uemwqaigknyrotbzsjflxhpvcd,qkicfaygbnweojuxhptlsvrdmz
0,8000,-9892.09117755026,abcdefghijklmnopqrstuvwxyz,jrsyqbwhukzdplefogtacinvmx,jrsyqbwhukzdplefogtacinvmx,qkicfaygbnweojuxhptlsvrdmz
0,8500,-8794.004353003926,abcdefghijklmnopqrstuvwxyz,qrgyfohwanecmtuixljpszvkbd,qrgyfohwanecmtuixljpszvkbd,qkicfaygbnweojuxhptlsvrdmz
0,9000,-8608.075589501368,abcdefghijklmnopqrstuvwxyz,qoivfsktmdheaxujzplgbncrwy,qoivfsktmdheaxujzplgbncrwy,qkicfaygbnweojuxhptlsvrdmz
0,9500,-8946.883860755146,abcdefghijklmnopqrstuvwxyz,bsayuvkjfzigecqlhntpmdwxor,bsayuvkjfzigecqlhntpmdwxor,qkicfaygbnweojuxhptlsvrdmz
0,10000,-9479.346008018136,abcdefghijklmnopqrstuvwxyz,jvtbqixrfmkyosepwgluanhdzc,jvtbqixrfmkyosepwgluanhdzc,qkicfaygbnweojuxhptlsvrdmz
