worker,iteration,fitness,plain_alphabet,cipher_alphabet,mapped_cipher_alphabet,target_cipher_alphabet
0,0,-3214.5511156983853,abcdefghijklmnopqrstuvwxyz,vualqekfdojzgyrbwcihpxnmts,vualqekfdojzgyrbwcihpxnmts,qkicfaygbnweojuxhptlsvrdmz
0,500,-3108.621230992892,abcdefghijklmnopqrstuvwxyz,qheydlocuzvgftkwabjnirxmsp,qheydlocuzvgftkwabjnirxmsp,qkicfaygbnweojuxhptlsvrdmz
0,1000,-3123.3945428831353,abcdefghijklmnopqrstuvwxyz,pfvosctjbudwhelyaqzmgrikxn,pfvosctjbudwhelyaqzmgrikxn,qkicfaygbnweojuxhptlsvrdmz
0,1500,-3030.841075436599,abcdefghijklmnopqrstuvwxyz,duqpegtwfvxiaojshnbcklmzry,duqpegtwfvxiaojshnbcklmzry,qkicfaygbnweojuxhptlsvrdmz
0,2000,-3291.378417915519,abcdefghijklmnopqrstuvwxyz,tfxuqnldvsycwrjpbhimkeoagz,tfxuqnldvsycwrjpbhimkeoagz,qkicfaygbnweojuxhptlsvrdmz
0,2500,-3354.5759288304157,abcdefghijklmnopqrstuvwxyz,bgjdwoxlutrmczqfyhkapnsvie,bgjdwoxlutrmczqfyhkapnsvie,qkicfaygbnweojuxhptlsvrdmz
0,3000,-2986.615608205789,abcdefghijklmnopqrstuvwxyz,bexszgcudoaljqfpytwvihknrm,bexszgcudoaljqfpytwvihknrm,qkicfaygbnweojuxhptlsvrdmz
0,3500,-2847.927261382327,abcdefghijklmnopqrstuvwxyz,tkraswzguxhvcjloynpfqmbied,tkraswzguxhvcjloynpfqmbied,qkicfaygbnweojuxhptlsvrdmz
0,4000,-3312.1689081124873,abcdefghijklmnopqrstuvwxyz,bseuknqthowimxgyvrzacpfdlj,bseuknqthowimxgyvrzacpfdlj,qkicfaygbnweojuxhptlsvrdmz
0,4500,-3225.664861232973,abcdefghijklmnopqrstuvwxyz,mrovyswcfapunhdqxktlibejgz,mrovyswcfapunhdqxktlibejgz,qkicfaygbnweojuxhptlsvrdmz
0,5000,-3691.3962571815764,abcdefghijklmnopqrstuvwxyz,owcysgxzmquareidnvfthkjbpl,owcysgxzmquareidnvfthkjbpl,qkicfaygbnweojuxhptlsvrdmz
0,5500,-3370.837756657512,abcdefghijklmnopqrstuvwxyz,qpdxvyufztmokjgcehiarlwnbs,qpdxvyufztmokjgcehiarlwnbs,qkicfaygbnweojuxhptlsvrdmz
0,6000,-3026.533386688197,abcdefghijklmnopqrstuvwxyz,doaywmxijhersquznlgtfcbvkp,doaywmxijhersquznlgtfcbvkp,qkicfaygbnweojuxhptlsvrdmz
